region,percentile,f_ghz,gamma_dB_per_km
costa,95,23.0,0.3263275530730806
costa,95,23.0,0.3389286143325782
costa,95,32.0,0.357794236427766
costa,95,32.0,0.3684251404344513
costa,95,32.0,0.3369732364863695
costa,95,32.0,0.3462581368344717
costa,95,32.0,0.3577104038323018
costa,95,32.0,0.3683413078389871
costa,95,32.0,0.3368878788172286
costa,95,32.0,0.3461727791653308
costa,95,38.0,0.4780043547061735
costa,95,38.0,0.492724478665508
costa,95,38.0,0.4488704556612625
costa,95,38.0,0.4617293987125753
costa,95,38.0,0.4778969785133478
costa,95,38.0,0.4926171024726822
costa,95,38.0,0.4487611260921362
costa,95,38.0,0.4616200691434491
costa,99,6.0,0.0146238223454539
costa,99,6.0,0.0150047209462271
costa,99,6.0,0.0139067495391613
costa,99,6.0,0.0142398173761351
costa,99,6.0,0.0146194089690769
costa,99,6.0,0.0150003075698501
costa,99,6.0,0.0139022567336609
costa,99,6.0,0.0142353245706346
costa,99,7.0,0.0198486944311173
costa,99,7.0,0.020366413313471
costa,99,7.0,0.018873573881101
costa,99,7.0,0.0193262880581885
costa,99,7.0,0.0198427118542508
costa,99,7.0,0.0203604307366044
costa,99,7.0,0.0188674836336449
costa,99,7.0,0.0193201978107323
costa,99,11.0,0.0486199993123309
costa,99,11.0,0.0499088420622011
costa,99,11.0,0.0461777164135038
costa,99,11.0,0.0473046400470478
costa,99,11.0,0.0486055525923262
costa,99,11.0,0.0498943953421964
costa,99,11.0,0.0461630096906783
costa,99,11.0,0.0472899333242224
costa,99,15.0,0.0907212147950855
costa,99,15.0,0.0932192939765415
costa,99,15.0,0.0859194632637794
costa,99,15.0,0.0881028194478828
costa,99,15.0,0.0906951823087203
costa,99,15.0,0.0931932614901763
costa,99,15.0,0.0858929622613854
costa,99,15.0,0.0880763184454888
costa,99,18.0,0.1366254071746753
costa,99,18.0,0.1406704699148246
costa,99,18.0,0.1286440460660585
costa,99,18.0,0.1321761191059421
costa,99,18.0,0.1365889929929384
costa,99,18.0,0.1406340557330877
costa,99,18.0,0.1286069765251838
costa,99,18.0,0.1321390495650674
costa,99,23.0,0.3587759160677852
costa,99,23.0,0.3731153905447788
costa,99,23.0,0.3277258567506106
costa,99,23.0,0.3402667461982914
costa,99,23.0,0.3587197875805937
costa,99,23.0,0.3730592620575874
costa,99,23.0,0.3276687180988291
costa,99,23.0,0.3402096075465098
costa,99,32.0,0.3586426471817561
costa,99,32.0,0.3692075414384546
costa,99,32.0,0.3379202180926433
costa,99,32.0,0.3471610019806415
